	bicalutamide	bleomycin	cetuximab	cisplatin	dabrafenib	docetaxel	doxorubicin	erlotinib	etoposide	gefitinib	gemcitabine	imatinib	lapatinib	methotrexate	paclitaxel	sorafenib	sunitinib	tamoxifen	temozolomide	trametinib	veliparib	vinblastine	vinorelbine
906877	4.04583449	3.22266385	6.8913786	2.10506496	1.95228679	-3.27019423	-1.17468039	3.63752929	2.07512059	0.19927614	-5.01176501	2.83010687	3.35367374	-3.32594378	-2.87794922	3.96484262	2.60016494	2.42314969	6.17209198	1.74446711	4.40087921	-4.8441619	-4.96441898
906798	4.21104139	-1.21177879	5.29673472	0.79692165	4.04688535	-6.4281076	-3.97215187	2.408565	0.17886936	-0.17414662	-1.38215512	2.743088	2.428795	0.44358272	-3.13376	2.008625	2.381932	3.5953673	5.44069739	-1.40253445	2.35107555	-5.37170924	-4.8319485
906872	4.04938003	-0.25696401	5.80158419	2.76194856	0.75332395	-5.5031241	-2.53947521	2.62081753	1.63256594	1.90672424	0.78945082	3.28534781	2.37337823	-1.55174884	-3.01154491	1.99025769	5.20006054	3.84395827	3.82471397	-3.95408183	4.34394701	-5.0305702	-5.21954904
906873	4.376683	6.10732789	5.988034	2.57923185	3.245134	-6.6882982	-0.56397389	2.408565	3.68145599	1.59792774	1.53862976	2.743088	2.428795	1.01246285	-3.13376	2.008625	2.381932	4.12536413	5.5339	-1.02602	4.22497372	-4.53190328	-2.55765434
906870	3.87744306	-1.07842979	6.44517668	4.21919733	1.30901724	-2.25170501	-1.83902814	2.70816458	1.19296276	1.56372431	-2.63229499	-1.93099536	2.86782696	0.74835568	-4.27240162	-3.19406843	-2.9062737	2.74630309	5.41181726	0.87510123	3.9672315	-1.00134558	-3.68477311
906871	4.50087629	0.21494937	5.51689347	0.65518703	3.10212795	-7.41043822	-2.60649632	2.95504357	-0.23084278	1.2073349	-4.85623762	3.0618681	1.31235337	0.68469543	-5.7188404	1.51193841	1.709854	3.68088225	3.76440888	0.35043102	3.98587821	-5.27058715	-5.29106938
906793	3.78713852	-1.12893347	5.94284899	0.30732377	-3.99407201	-6.26699335	-4.38111747	2.408565	-0.40922174	0.10482639	-6.2282848	2.743088	2.428795	0.24879464	-3.13376	2.008625	2.381932	3.4255378	5.07505104	-6.38516035	2.42110698	-5.96323033	-3.24152062
906792	4.376683	-0.24843101	5.988034	1.36685671	3.245134	-7.18260697	-3.91035205	2.408565	-0.72396537	0.35864687	-4.14695384	2.743088	2.428795	-0.64088366	-3.13376	2.008625	2.381932	3.26940329	5.5339	-1.02602	2.68919607	-5.82678418	-5.57645139
906791	4.19330017	3.18274199	5.988034	1.00270679	3.32688247	-3.93928877	-2.62169439	2.408565	-0.84539658	1.76403327	-3.98016495	2.743088	2.428795	1.45003142	-3.13376	2.008625	2.381932	3.09811709	5.91598424	-1.53020108	3.69164569	-4.46822689	-5.08528204
1330933	4.13532714	0.72583626	6.14146082	1.81782245	3.99318602	-5.31784017	-3.34999972	2.10389315	-0.10811863	1.30890948	-3.97688704	2.39557918	2.66738688	-3.98089407	-4.73753232	2.008625	1.36491697	3.09224355	4.75705799	0.7408727	3.63878135	-5.49760708	-4.18418137
906797	4.73768115	0.58008989	6.2729049	2.25382445	4.57799304	-5.8814615	-3.44468052	2.408565	-0.71989128	-0.04280709	-4.9542453	2.743088	2.428795	0.3929999	-3.13376	2.008625	2.381932	3.26043218	3.80908781	-1.02602	3.99300559	-3.82580931	-4.29253754
