	bicalutamide	bleomycin	cetuximab	cisplatin	dabrafenib	docetaxel	doxorubicin	erlotinib	etoposide	gefitinib	gemcitabine	imatinib	lapatinib	methotrexate	paclitaxel	sorafenib	sunitinib	tamoxifen	temozolomide	trametinib	veliparib	vinblastine	vinorelbine
bicalutamide	1	0.33557047	0.410344828	0.065359477	0.531818182	0.431623932	0.367346939	0.3878327	0.319502075	0.375451264	0.271276596	0.456521739	0.424137931	0.44	0.438297872	0.44047619	0.514423077	0.385416667	0.214953271	0.56284153	0.435344828	0.402826855	0.401408451
bleomycin	0.33557047	1	0.536363636	0.039840637	0.520979021	0.405844156	0.340557276	0.451410658	0.3	0.451515152	0.30620155	0.513986014	0.502941176	0.601398601	0.406451613	0.47284345	0.449122807	0.242320819	0.387596899	0.352112676	0.517605634	0.486486486	0.476190476
cetuximab	0.410344828	0.536363636	1	0.038167939	0.467105263	0.547038328	0.520547945	0.61774744	0.457337884	0.633333333	0.303370787	0.602888087	0.662420382	0.669039146	0.552083333	0.638888889	0.582089552	0.41509434	0.308510638	0.462962963	0.556338028	0.732876712	0.718644068
cisplatin	0.065359477	0.039840637	0.038167939	1	0.052631579	0.047619048	0.047619048	0.04587156	0.040229885	0.0472103	0.108695652	0.053191489	0.041509434	0.046948357	0.046875	0.051162791	0.05952381	0.066115702	0.088495575	0.071942446	0.053763441	0.04	0.039840637
dabrafenib	0.531818182	0.520979021	0.467105263	0.052631579	1	0.314487633	0.273972603	0.5703125	0.25	0.553903346	0.260273973	0.660714286	0.567944251	0.588	0.320422535	0.53256705	0.543859649	0.334801762	0.356164384	0.502325581	0.587982833	0.437086093	0.426229508
docetaxel	0.431623932	0.405844156	0.547038328	0.047619048	0.314487633	1	0.712962963	0.398601399	0.575892857	0.391304348	0.304761905	0.390977444	0.417721519	0.436363636	0.952879581	0.442028986	0.43442623	0.49009901	0.170634921	0.433035714	0.373134328	0.570909091	0.580291971
doxorubicin	0.367346939	0.340557276	0.520547945	0.047619048	0.273972603	0.712962963	1	0.408450704	0.72195122	0.395973154	0.251141553	0.350364964	0.426751592	0.362068966	0.711009174	0.436823105	0.356589147	0.551546392	0.130268199	0.35443038	0.314285714	0.542857143	0.535460993
erlotinib	0.3878327	0.451410658	0.61774744	0.04587156	0.5703125	0.398601399	0.408450704	1	0.408088235	0.87394958	0.282700422	0.593625498	0.689045936	0.579925651	0.404181185	0.646153846	0.467181467	0.477678571	0.315789474	0.444444444	0.536679537	0.626760563	0.613240418
etoposide	0.319502075	0.3	0.457337884	0.040229885	0.25	0.575892857	0.72195122	0.408088235	1	0.390243902	0.218009479	0.288321168	0.368253968	0.303448276	0.568281938	0.365591398	0.316205534	0.551912568	0.112	0.299145299	0.276363636	0.52014652	0.512727273
gefitinib	0.375451264	0.451515152	0.633333333	0.0472103	0.553903346	0.391304348	0.395973154	0.87394958	0.390243902	1	0.28	0.593869732	0.764285714	0.580645161	0.396666667	0.675471698	0.472118959	0.476595745	0.30651341	0.450592885	0.505454545	0.620338983	0.60738255
gemcitabine	0.271276596	0.30620155	0.303370787	0.108695652	0.260273973	0.304761905	0.251141553	0.282700422	0.218009479	0.28	1	0.262672811	0.24822695	0.294372294	0.294392523	0.285106383	0.289340102	0.242424242	0.309210526	0.315789474	0.265116279	0.272727273	0.271698113
imatinib	0.456521739	0.513986014	0.602888087	0.053191489	0.660714286	0.390977444	0.350364964	0.593625498	0.288321168	0.593869732	0.262672811	1	0.59430605	0.779279279	0.40754717	0.631147541	0.674641148	0.34375	0.418269231	0.589108911	0.719626168	0.505226481	0.493103448
lapatinib	0.424137931	0.502941176	0.662420382	0.041509434	0.567944251	0.417721519	0.426751592	0.689045936	0.368253968	0.764285714	0.24822695	0.59430605	1	0.619863014	0.422712934	0.676056338	0.501754386	0.42481203	0.30877193	0.425	0.532646048	0.608832808	0.596875
methotrexate	0.44	0.601398601	0.669039146	0.046948357	0.588	0.436363636	0.362068966	0.579925651	0.303448276	0.580645161	0.294372294	0.779279279	0.619863014	1	0.447272727	0.614503817	0.61637931	0.325203252	0.428571429	0.530973451	0.679487179	0.518272425	0.506578947
paclitaxel	0.438297872	0.406451613	0.552083333	0.046875	0.320422535	0.952879581	0.711009174	0.404181185	0.568281938	0.396666667	0.294392523	0.40754717	0.422712934	0.447272727	1	0.452898551	0.440816327	0.490196078	0.173228346	0.44	0.384328358	0.581818182	0.591240876
sorafenib	0.44047619	0.47284345	0.638888889	0.051162791	0.53256705	0.442028986	0.436823105	0.646153846	0.365591398	0.675471698	0.285106383	0.631147541	0.676056338	0.614503817	0.452898551	1	0.594936709	0.462222222	0.334710744	0.504310345	0.559055118	0.554054054	0.54180602
sunitinib	0.514423077	0.449122807	0.582089552	0.05952381	0.543859649	0.43442623	0.356589147	0.467181467	0.316205534	0.472118959	0.289340102	0.674641148	0.501754386	0.61637931	0.440816327	0.594936709	1	0.357487923	0.395939086	0.592592593	0.793814433	0.554716981	0.552631579
tamoxifen	0.385416667	0.242320819	0.41509434	0.066115702	0.334801762	0.49009901	0.551546392	0.477678571	0.551912568	0.476595745	0.242424242	0.34375	0.42481203	0.325203252	0.490196078	0.462222222	0.357487923	1	0.141414141	0.392265193	0.317180617	0.452	0.450199203
temozolomide	0.214953271	0.387596899	0.308510638	0.088495575	0.356164384	0.170634921	0.130268199	0.315789474	0.112	0.30651341	0.309210526	0.418269231	0.30877193	0.428571429	0.173228346	0.334710744	0.395939086	0.141414141	1	0.32972973	0.457711443	0.235294118	0.234482759
trametinib	0.56284153	0.352112676	0.462962963	0.071942446	0.502325581	0.433035714	0.35443038	0.444444444	0.299145299	0.450592885	0.315789474	0.589108911	0.425	0.530973451	0.44	0.504310345	0.592592593	0.392265193	0.32972973	1	0.519047619	0.413284133	0.401459854
veliparib	0.435344828	0.517605634	0.556338028	0.053763441	0.587982833	0.373134328	0.314285714	0.536679537	0.276363636	0.505454545	0.265116279	0.719626168	0.532646048	0.679487179	0.384328358	0.559055118	0.793814433	0.317180617	0.457711443	0.519047619	1	0.50877193	0.5069
vinblastine	0.402826855	0.486486486	0.732876712	0.04	0.437086093	0.570909091	0.542857143	0.626760563	0.52014652	0.620338983	0.272727273	0.505226481	0.608832808	0.518272425	0.581818182	0.554054054	0.554716981	0.452	0.235294118	0.413284133	0.50877193	1	0.98
vinorelbine	0.401408451	0.476190476	0.718644068	0.039840637	0.426229508	0.580291971	0.535460993	0.613240418	0.512727273	0.60738255	0.271698113	0.493103448	0.596875	0.506578947	0.591240876	0.54180602	0.552631579	0.450199203	0.234482759	0.401459854	0.5069	0.98	1
